,TOA5 idea concrete cr 1000,IDEA_Concrete_cell,CR1000,91194,CR1000.Std.32.03,CPU:Concrete_20190329.CR1,430,Hydro,,,,,
Rain_in_Tot,TIMESTAMP,CnoC_Level_Avg,CC_Level_Avg,CnoC_Stage_Avg,CC_Stage_Avg,CnoC_Flow_Avg,CC_Flow_Avg,CnoC_Sample_Pulses_Max,CC_Sample_Pulses_Max,CnoC_GoodSample_Max,CC_GoodSample_Max,,
In,TS,Ft,Ft,Ft,Ft,GPM,GPM,Pulses,Pulses,Samples,Samples,,
Tot,,Avg,Avg,Avg,Avg,Avg,Avg,Max,Max,Max,Max,,
0,9/1/2019 19:25,0.7706028,1.077039,-0.06767787,-0.02035614,0,0,17,1348,0,1,,
0,9/1/2019 19:30,0.7704495,1.07718,-0.06783113,-0.02021488,0,0,17,1348,0,1,,
0,9/1/2019 19:35,0.7705591,1.077062,-0.06772156,-0.0203331,0,0,17,1348,0,1,,
0,9/1/2019 19:40,0.7705874,1.077038,-0.06769323,-0.02035706,0,0,17,1348,0,1,,
0,9/1/2019 19:45,0.7704554,1.077118,-0.06782524,-0.02027729,0,0,17,1348,0,1,,
0,9/1/2019 19:50,0.7706785,1.076962,-0.06760217,-0.02043237,0,0,17,1348,0,1,,
0,9/1/2019 19:55,0.7705513,1.077123,-0.06772943,-0.02027133,0,0,17,1348,0,1,,
0,9/1/2019 20:00,0.7706044,1.077031,-0.06767628,-0.02036409,0,0,17,1348,0,1,,
0,9/1/2019 20:05,0.7704706,1.07724,-0.0678101,-0.02015498,0,0,17,1348,0,1,,
0,9/1/2019 20:10,0.7705284,1.077022,-0.06775227,-0.0203726,0,0,17,1348,0,1,,
0,9/1/2019 20:15,0.7706884,1.077152,-0.06759227,-0.02024287,0,0,17,1348,0,1,,
0,9/1/2019 20:20,0.7705173,1.077223,-0.06776333,-0.02017214,0,0,17,1348,0,1,,
0,9/1/2019 20:25,0.770557,1.077152,-0.06772371,-0.02024327,0,0,17,1348,0,1,,
