,TOA5 Idea school Asphalt CR 1000,91193,CR1000.Std.32.03,CPU:Asphalt_20190312.CR1,42731,Hydro,,,,,
Rain_in_Tot,TIMESTAMP,AnoC_Level_Avg,AC_Level_Avg,AnoC_Stage_Avg,AC_Stage_Avg,AnoC_Flow_Avg,AC_Flow_Avg,AnoC_Sample_Pulses_Max,AC_Sample_Pulses_Max,AnoC_GoodSample_Max,AC_GoodSample_Max
In,TS,Ft,Ft,Ft,Ft,GPM,GPM,Pulses,Pulses,Samples,Samples
Tot,,Avg,Avg,Avg,Avg,Avg,Avg,Max,Max,Max,Max
0,9/1/2019 14:35,1.031623,1.174463,-0.04132428,0.1601379,0,17.32546,1,2,0,0
0,9/1/2019 14:40,1.031686,1.174539,-0.04126226,0.1602144,0,17.34496,1,2,0,0
0,9/1/2019 14:45,1.031563,1.174604,-0.04138527,0.1602793,0,17.36154,1,2,0,0
0,9/1/2019 14:50,1.031717,1.174531,-0.04123043,0.1602065,0,17.34299,1,2,0,0
0,9/1/2019 14:55,1.031703,1.174455,-0.04124515,0.1601298,0,17.32335,1,2,0,0
0,9/1/2019 15:00,1.031857,1.174788,-0.04109088,0.1604635,0,17.40861,1,2,0,0
0,9/1/2019 15:05,1.031802,1.17468,-0.04114576,0.1603547,0,17.38086,1,2,0,0
0,9/1/2019 15:10,1.031834,1.174488,-0.04111343,0.1601634,0,17.33191,1,2,0,0
0,9/1/2019 15:15,1.031755,1.174507,-0.04119319,0.1601822,0,17.33679,1,2,0,0
0,9/1/2019 15:20,1.031906,1.17453,-0.04104131,0.1602046,0,17.34242,1,2,0,0
0,9/1/2019 15:25,1.031601,1.174521,-0.04134652,0.1601958,0,17.34024,1,2,0,0
0,9/1/2019 15:30,1.03185,1.174742,-0.04109766,0.1604176,0,17.39684,1,2,0,0
0,9/1/2019 15:35,1.031849,1.174766,-0.04109913,0.1604411,0,17.40293,1,2,0,0
0,9/1/2019 15:40,1.031766,1.174659,-0.04118151,0.1603343,0,17.37557,1,2,0,0
0,9/1/2019 15:45,1.032091,1.174787,-0.04085736,0.1604621,0,17.40822,1,2,0,0
0,9/1/2019 15:50,1.031764,1.17473,-0.04118377,0.1604048,0,17.39356,1,2,0,0
0,9/1/2019 15:55,1.031785,1.174502,-0.04116271,0.1601774,0,17.3355,1,2,0,0
0,9/1/2019 16:00,1.032001,1.174636,-0.0409469,0.160311,0,17.36961,1,2,0,0
0,9/1/2019 16:05,1.031747,1.174765,-0.04120086,0.16044,0,17.40252,1,2,0,0
0,9/1/2019 16:10,1.031859,1.174646,-0.04108904,0.1603209,0,17.37209,1,2,0,0
0,9/1/2019 16:15,1.031787,1.174587,-0.04116084,0.1602624,0,17.35716,1,2,0,0
0,9/1/2019 16:20,1.031602,1.174549,-0.04134629,0.1602245,0,17.34752,1,2,0,0
0,9/1/2019 16:25,1.031682,1.17472,-0.04126575,0.160395,0,17.39103,1,2,0,0
0,9/1/2019 16:30,1.031586,1.17454,-0.04136146,0.1602155,0,17.3452,1,2,0,0
0,9/1/2019 16:35,1.031729,1.174648,-0.0412183,0.1603236,0,17.37278,1,2,0,0
0,9/1/2019 16:40,1.031659,1.174552,-0.04128925,0.1602274,0,17.34826,1,2,0,0
0,9/1/2019 16:45,1.031786,1.174693,-0.04116179,0.1603685,0,17.38421,1,2,0,0
0,9/1/2019 16:50,1.031679,1.174548,-0.041269,0.160223,0,17.34717,1,2,0,0
0,9/1/2019 16:55,1.031795,1.174566,-0.04115299,0.1602406,0,17.35159,1,2,0,0
0,9/1/2019 17:00,1.031859,1.174753,-0.04108898,0.1604282,0,17.39951,1,2,0,0
0,9/1/2019 17:05,1.031962,1.174664,-0.04098598,0.1603388,0,17.3767,1,2,0,0
0,9/1/2019 17:10,1.031957,1.174746,-0.04099065,0.1604215,0,17.39781,1,2,0,0
0,9/1/2019 17:15,1.031861,1.174769,-0.0410871,0.1604439,0,17.4035,1,2,0,0
0,9/1/2019 17:20,1.031691,1.174597,-0.04125674,0.1602726,0,17.35977,1,2,0,0
0,9/1/2019 17:25,1.031679,1.174358,-0.04126879,0.160033,0,17.29872,1,2,0,0
0,9/1/2019 17:30,1.031609,1.174438,-0.04133914,0.1601135,0,17.31921,1,2,0,0
0,9/1/2019 17:35,1.031769,1.174662,-0.04117841,0.1603371,0,17.37624,1,2,0,0
0,9/1/2019 17:40,1.031757,1.174463,-0.04119125,0.1601385,0,17.32559,1,2,0,0
0,9/1/2019 17:45,1.031786,1.17458,-0.04116146,0.1602552,0,17.35534,1,2,0,0
0,9/1/2019 17:50,1.031805,1.174585,-0.04114309,0.1602605,0,17.3567,1,2,0,0
0,9/1/2019 17:55,1.031677,1.174563,-0.0412711,0.1602384,0,17.35102,1,2,0,0
0,9/1/2019 18:00,1.031862,1.174436,-0.0410854,0.1601113,0,17.31867,1,2,0,0
0,9/1/2019 18:05,1.031736,1.17444,-0.04121165,0.1601152,0,17.31964,1,2,0,0
0,9/1/2019 18:10,1.03152,1.174493,-0.04142739,0.1601686,0,17.33325,1,2,0,0
0,9/1/2019 18:15,1.031554,1.17452,-0.04139347,0.1601953,0,17.34005,1,2,0,0
0,9/1/2019 18:20,1.031641,1.174387,-0.04130638,0.1600623,0,17.30618,1,2,0,0
0,9/1/2019 18:25,1.031662,1.174418,-0.04128586,0.1600934,0,17.31406,1,2,0,0
0,9/1/2019 18:30,1.031729,1.174364,-0.04121864,0.1600389,0,17.3002,1,2,0,0
0,9/1/2019 18:35,1.031705,1.174551,-0.04124318,0.1602265,0,17.34803,1,2,0,0
0,9/1/2019 18:40,1.031618,1.174404,-0.04132996,0.1600786,0,17.31031,1,2,0,0
0,9/1/2019 18:45,1.031794,1.174527,-0.04115422,0.1602025,0,17.34195,1,2,0,0
0,9/1/2019 18:50,1.031417,1.174431,-0.0415303,0.1601057,0,17.3172,1,2,0,0
0,9/1/2019 18:55,1.031807,1.174553,-0.0411407,0.1602282,0,17.34846,1,2,0,0
0,9/1/2019 19:00,1.031822,1.174684,-0.04112555,0.1603591,0,17.38187,1,2,0,0
0,9/1/2019 19:05,1.031672,1.174564,-0.04127606,0.1602393,0,17.35127,1,2,0,0
0,9/1/2019 19:10,1.03166,1.174505,-0.04128809,0.16018,0,17.33618,1,2,0,0
0,9/1/2019 19:15,1.031701,1.174573,-0.04124721,0.1602485,0,17.35368,1,2,0,0
0,9/1/2019 19:20,1.031682,1.174591,-0.04126561,0.1602664,0,17.35823,1,2,0,0
0,9/1/2019 19:25,1.031592,1.174578,-0.04135597,0.160253,0,17.35478,1,2,0,0
0,9/1/2019 19:30,1.03158,1.174415,-0.04136735,0.1600902,0,17.31326,1,2,0,0
0,9/1/2019 19:35,1.031477,1.174613,-0.04147067,0.1602883,0,17.3638,1,2,0,0
0,9/1/2019 19:40,1.031474,1.174483,-0.04147431,0.1601585,0,17.33067,1,2,0,0
0,9/1/2019 19:45,1.031754,1.174713,-0.04119381,0.1603877,0,17.38911,1,2,0,0
0,9/1/2019 19:50,1.031589,1.174539,-0.04135906,0.1602143,0,17.34491,1,2,0,0
0,9/1/2019 19:55,1.03172,1.174504,-0.04122776,0.1601792,0,17.33594,1,2,0,0
0,9/1/2019 20:00,1.031556,1.174532,-0.04139189,0.1602069,0,17.34306,1,2,0,0
0,9/1/2019 20:05,1.031486,1.174607,-0.04146228,0.1602819,0,17.36214,1,2,0,0
0,9/1/2019 20:10,1.031493,1.174641,-0.04145514,0.1603164,0,17.37094,1,2,0,0
0,9/1/2019 20:15,1.031429,1.174531,-0.04151933,0.1602065,0,17.34295,1,2,0,0
0,9/1/2019 20:20,1.031555,1.174467,-0.04139318,0.160142,0,17.3265,1,2,0,0
0,9/1/2019 20:25,1.031481,1.174541,-0.04146674,0.1602163,0,17.34542,1,2,0,0
0,9/1/2019 20:30,1.031445,1.174535,-0.04150267,0.1602101,0,17.34383,1,2,0,0
0,9/1/2019 20:35,1.031583,1.174511,-0.04136453,0.1601861,0,17.3377,1,2,0,0
0,9/1/2019 20:40,1.031549,1.174475,-0.04139926,0.1601498,0,17.32846,1,2,0,0
0,9/1/2019 20:45,1.031549,1.174545,-0.04139892,0.1602204,0,17.34645,1,2,0,0
0,9/1/2019 20:50,1.031645,1.174618,-0.04130311,0.1602936,0,17.36511,1,2,0,0
0,9/1/2019 20:55,1.031538,1.174549,-0.0414101,0.1602246,0,17.34752,1,2,0,0
0,9/1/2019 21:00,1.031608,1.174432,-0.04133998,0.1601074,0,17.31764,1,2,0,0
0,9/1/2019 21:05,1.031332,1.174542,-0.0416163,0.1602168,0,17.34554,1,2,0,0
0,9/1/2019 21:10,1.03144,1.174476,-0.04150805,0.1601515,0,17.32893,1,2,0,0
0,9/1/2019 21:15,1.031271,1.174514,-0.0416767,0.1601892,0,17.33848,1,2,0,0
0,9/1/2019 21:20,1.031406,1.17452,-0.0415419,0.160195,0,17.33999,1,2,0,0
